'Coordinates of KORUS-AQ ground sites',,
'Site Name','Latitude_N','Longitude_E'
'Taehwa Research Forest',37.3123,127.3105
'Olympic Park',37.5220,127.1200
'Gosan, Jeju Island',33.2920,126.1620
'Seoul_SNU',37.4580,126.9510
'Yonsei_University',37.5640,126.9350
'Hankuk_UFS',37.3389,127.2658
'Baengnyeong Island',37.9660,124.6300
'Anmyeon',36.5389,126.3295
'GIST, Gwangju',35.2280,126.8430
'Pusan Univ., Busan',35.2350,129.0830
'Gangneung-Wonju Univ.',37.7710,128.8670
'Iksan',35.9619,127.0050
'Kyungpook NU',35.8500,128.5800
'Mokpo University',34.9128,126.4369
'Ulsan UNIST',35.5819,129.1897
'Osan',37.0800,127.0400
'NIER',37.5689,126.6397
'Daegwallyeong',37.68712,128.75872
'Gageocho',33.941945,124.592778
'Ieodo',32.122778,125.181945
'Jeonju',33.94194444,124.5927778
'Kunsan University',35.941072,126.683008
'Daejeon',36.35,127.38
'Rikubetsu, Japan',43.4567,143.7661
'Saga, Japan',33.240962,130.288239
'Fukue, Japan',32.751626,128.681728
'Cape Hedo, Japan',26.866919,128.248465
'Noto, Japan',37.451041,137.358972
'Kasuga, Japan',33.524161,130.475492
'Fukuoka, Japan',33.5482424,130.3650523
